"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C17","Login"," None","Bartosz Hałasowski","10/29/2022 4:30 PM","","","","","","","Critical","","Login","0","","Login","1. User provides login (standard_user) and password (secret_sauce)
Expected Result:
Users username and password are filled in input field2. User clicks the ""login"" button
Expected Result:
1. User is logged in
2. User is redirected to the ""products"" page","","1. 
2.","1. Users username and password are filled in input field
2. 1. User is logged in
2. User is redirected to the ""products"" page","1. 
2.","1. 
2.","1. User provides login (standard_user) and password (secret_sauce)
2. User clicks the ""login"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:50 PM"
"C18","Login with wrong password (negative)"," None","Bartosz Hałasowski","10/29/2022 4:34 PM","","","","","","","Low","","Login","0","","Login","1. User provides correct username (standard_user) and wrong password
Expected Result:
Users username and password are filled in input field2. User clicks the ""login"" button
Expected Result:
1. User is not logged in
2. Following information is shown: Epic sadface: Username and password do not match any user in this service","","1. 
2.","1. Users username and password are filled in input field
2. 1. User is not logged in
2. Following information is shown: Epic sadface: Username and password do not match any user in this service","1. 
2.","1. 
2.","1. User provides correct username (standard_user) and wrong password
2. User clicks the ""login"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:39 PM"
"C19","Login with wrong username (negative)"," None","Bartosz Hałasowski","10/29/2022 4:34 PM","","","","","","","Low","","Login","0","","Login","1. User provides correct password and incorrect username
Expected Result:
Users username and password are filled in input field2. User clicks the ""login"" button
Expected Result:
1. User is not logged in
2. Following information is shown: Epic sadface: Username and password do not match any user in this service","","1. 
2.","1. Users username and password are filled in input field
2. 1. User is not logged in
2. Following information is shown: Epic sadface: Username and password do not match any user in this service","1. 
2.","1. 
2.","1. User provides correct password and incorrect username
2. User clicks the ""login"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:36 PM"
"C20","Log in as locked out user"," None","Bartosz Hałasowski","10/29/2022 4:43 PM","","","","","","","Medium","","Login","0","","Login","1. User provides login (locked_out_user) and password (secret_sauce)
Expected Result:
Users username and password are filled in input field2. User clicks the ""login"" button
Expected Result:
1. User is not logged in
2. The following iformation is shown: ""Epic sadface: Sorry, this user has been locked out.""","","1. 
2.","1. Users username and password are filled in input field
2. 1. User is not logged in
2. The following iformation is shown: ""Epic sadface: Sorry, this user has been locked out.""","1. 
2.","1. 
2.","1. User provides login (locked_out_user) and password (secret_sauce)
2. User clicks the ""login"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:43 PM"
"C21","Log in as Problem user"," None","Bartosz Hałasowski","10/29/2022 4:46 PM","","","","","","","Medium","","Login","0","","Login","1. User provides login (problem_user) and password (secret_sauce)
Expected Result:
Users username and password are filled in input field2. User clicks the ""login"" button
Expected Result:
1. User is logged in
2. User is redirected to the ""products"" page
3. Pictures of dog are shown instead of product pictures","","1. 
2.","1. Users username and password are filled in input field
2. 1. User is logged in
2. User is redirected to the ""products"" page
3. Pictures of dog are shown instead of product pictures","1. 
2.","1. 
2.","1. User provides login (problem_user) and password (secret_sauce)
2. User clicks the ""login"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:51 PM"
"C22","Log in as perofrmance glitch user"," None","Bartosz Hałasowski","10/29/2022 4:50 PM","","","","","","","Medium","","Login","0","","Login","1. User provides login (performance_glitch_user) and password (secret_sauce)
Expected Result:
Users username and password are filled in input field2. User clicks the ""login"" button
Expected Result:
1. User is logged in
2. User is redirected to the ""products"" page","","1. 
2.","1. Users username and password are filled in input field
2. 1. User is logged in
2. User is redirected to the ""products"" page","1. 
2.","1. 
2.","1. User provides login (performance_glitch_user) and password (secret_sauce)
2. User clicks the ""login"" button","Master","S2","Test Case (Steps)","Other","Bartosz Hałasowski","10/29/2022 4:51 PM"
"C23","Adding products to cart"," None","Bartosz Hałasowski","10/29/2022 4:56 PM","","","","","","User is logged in as standard user
User is on ""products"" page","High","","Cart functonality","0","","Cart functonality","1. User clicks ""Add to cart"" button
Expected Result:
1. Product is added to the cart
2. Button ""add to cart"" changes to ""remove""","","1.","1. 1. Product is added to the cart
2. Button ""add to cart"" changes to ""remove""","1.","1.","1. User clicks ""Add to cart"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:56 PM"
"C24","Removing products from cart"," None","Bartosz Hałasowski","10/29/2022 4:59 PM","","","","","","User is logged in as standard user
User is on ""products"" page
User has product added to cart","High","","Cart functonality","0","","Cart functonality","1. User clicks ""Remove"" button
Expected Result:
1. Product is removed from cart
2. ""Remove"" button changes to ""Add to cart""","","1.","1. 1. Product is removed from cart
2. ""Remove"" button changes to ""Add to cart""","1.","1.","1. User clicks ""Remove"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 4:59 PM"
"C25","Redirecting to ""Your cart"" page"," None","Bartosz Hałasowski","10/29/2022 5:02 PM","","","","","","User is logged in as standard user
User is on ""products"" page
User has product added to cart","Critical","","Cart functonality","0","","Cart functonality","1. User clicks cart icon in top right corner
Expected Result:
User is redirected to ""Your cart"" page","","1.","1. User is redirected to ""Your cart"" page","1.","1.","1. User clicks cart icon in top right corner","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 8:58 PM"
"C26","Removing products from ""your cart"" page"," None","Bartosz Hałasowski","10/29/2022 5:04 PM","","","","","","User is logged in as standard user
User is on ""Your cart"" page
User has product added to cart","High","","Cart functonality","0","","Cart functonality","1. User clicks ""remove"" button
Expected Result:
Product is removed from ""Your cart""","","1.","1. Product is removed from ""Your cart""","1.","1.","1. User clicks ""remove"" button","Master","S2","Test Case (Steps)","Functional","Bartosz Hałasowski","10/29/2022 5:05 PM"
